frame_idx	x	y	vel_x	vel_y
799	6.066	1528.71	-0.1	50	
799	54.08	1543.49	-0.8	45.86	
799	30.837	1518.44	-0.09	43.43	
799	17.393	1510.42	0.43	46.97	
799	30.068	1458.26	0.23	42.18	
799	40.631	1496.28	-0.07	40.04	
799	54.855	1436.02	0.15	45	
799	6.8	1393.61	1.65	38.42	
799	19.63	1443.73	0.16	47.39	
799	65.996	1400.46	0.56	54.86	
799	19.924	1368.92	-0.34	46.16	
799	42.349	1392.75	-0.46	43.89	
800	6.057	1533.71	-0.09	50	
800	54.018	1548.04	-0.62	45.4	
800	30.829	1522.81	-0.08	43.74	
800	17.433	1515.1	0.4	46.81	
800	30.082	1462.51	0.14	42.56	
800	40.623	1500.3	-0.08	40.14	
800	54.87	1440.52	0.15	45	
800	6.916	1397.56	1.16	39.53	
800	19.646	1448.5	0.16	47.75	
800	66.185	1405.96	1.89	54.98	
800	19.887	1373.51	-0.37	45.89	
800	42.365	1397.05	0.16	42.97	
801	6.047	1538.71	-0.1	50	
801	30.819	1527.21	-0.1	43.96	
801	17.474	1519.79	0.41	46.92	
801	30.078	1466.78	-0.04	42.65	
801	40.615	1504.3	-0.08	40.02	
801	54.885	1445.02	0.15	45	
801	7.029	1401.54	1.13	39.73	
801	19.662	1453.31	0.16	48.05	
801	66.494	1411.47	3.09	55.07	
801	19.852	1378.1	-0.35	45.9	
801	42.379	1401.33	0.14	42.81	
802	6.037	1543.71	-0.1	50	
802	30.811	1531.58	-0.08	43.75	
802	17.515	1524.5	0.41	47.09	
802	30.07	1471.02	-0.08	42.47	
802	40.623	1508.24	0.08	39.46	
802	54.9	1449.52	0.15	45	
802	7.142	1405.49	1.13	39.56	
802	19.678	1458.13	0.16	48.28	
802	66.891	1416.98	3.97	55.13	
802	19.817	1382.69	-0.35	45.98	
802	42.393	1405.62	0.14	42.94	
802	54.487	1358.83	-0.83	52.88	
803	6.027	1548.71	-0.1	50	
803	30.803	1535.94	-0.08	43.54	
